Hook,Framework,Category,Visual_Suggestion,Text_Suggestion,Views
TikTok ads are crushing it in 2024 and let me prove it to you.,[X platform] ads are crushing it in [Y year] and let me prove it to you,Secret Reveal,Creator A-Roll,[X subject] does [Y thing],"368,100"
It took me 10 years to learn everything I'm about to tell you.,It took me [X time] to learn everything I'm about to tell you,Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"2,600,000"
If you post one piece of content every single day for the next year you will not have to worry about money. This is what I kept seeing all over TikTok last year.,If you [X simple action] for the next year you will not have to worry about [Y concern]. This is what I kept seeing all over [Z platform] last year,Fortuneteller,Creator A-Roll,Captions (repeat of spoken),"995,300"
"My goal that by the end of this video, you fully understand the Facebook ad serving algorithm and understand the levers that you have in order to manipulate it.","My goal that by the end of this video, you fully understand [X system] and understand the levers that you have in order to [Y control it]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"975,800"
"I'm honestly such a lazy media buyer. I hate doing manual work. I look for tools and shortcuts to save me time wherever I can. I just found a tool that's like CapCut on steroids, and technically it shares the same name, but it's a completely different product.",I'm honestly such a lazy [X profession]. I hate doing [Y work]. I look for tools and shortcuts to save me time wherever I can. I just found a tool that's like [Z tool] on steroids,Secret Reveal,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"748,200"
ChatGPT Pro just paid for itself in five minutes.,[X tool] just paid for itself in [Y time],Raw Shock,Creator A-Roll,Captions (repeat of spoken),"406,900"
"Would you pay $200 a month to have unlimited access to a PhD above level intelligence that knew absolutely everything in the world? That could write for you, code for you, and like literally build products for you?",Would you pay $[X price] a month to have unlimited access to [Y capabilities]?,Question,Creator A-Roll,Captions (repeat of spoken),"377,400"
ChatGPT just told me to wait 10 minutes.,[X AI] just told me to [Y unexpected response],Raw Shock,Creator A-Roll,[X shocking thing],"252,500"
Combining ChatGPT with Make.com allows you to build any automation that you can dream of.,Combining [X tool] with [Y tool] allows you to build any [Z capability] that you can dream of,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"210,300"
"Just a few days ago, we used AI to launch a swimsuit company to see if we could go from zero to 50,000 in revenue in just 120 days.","Just a few days ago, we used AI to launch [X business] to see if we could go from zero to [Y revenue] in just [Z time]",Experimentation,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"3,200,000"
Generative AI will completely change how movies are made. Check this out.,[X technology] will completely change how [Y industry] are made. Check this out,Fortuneteller,Subject in B-Roll,Captions (repeat of spoken),"1,600,000"
I don't blame you for not knowing all these updates that have happened over the past few weeks in the world of AI.,I don't blame you for not knowing all these updates that have happened over the past [X time] in the world of [Y],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,500,000"
"If you need to create a presentation, check out this tool because it does it using AI in seconds","If you need to create [X task], check out this tool because it does it using AI in seconds",Educational/Tutorial,Creator A-Roll,[X subject] does [Y thing],"1,500,000"
So another AI company that you should be aware of is RunwayML. Think of it like Adobe except for beginners.,So another AI company that you should be aware of is [X company]. Think of it like [Y known brand] except for [Z audience],Secret Reveal,Subject in B-Roll,None,"1,400,000"
"Just when you think you've seen it all with AI, someone came out with a tool called Riz AI and it helps you unleash the power of infinite Riz. Wow.","Just when you think you've seen it all with AI, someone came out with a tool called [X] and it helps you [Y benefit]",Raw Shock,Subject in B-Roll,Captions (repeat of spoken),"1,300,000"
"Alright this is cool. You can now take a product image and generate an avatar where that product image and get a 360 video of the avatar showcasing that product, all using AI","Alright this is cool. You can now take [X input] and generate [Y output] showcasing [Z], all using AI",Educational/Tutorial,Subject in B-Roll,Captions (repeat of spoken),"1,200,000"
This is probably the craziest AI tool that I've seen yet.,This is probably the [X superlative] AI tool that I've seen yet,Raw Shock,Creator A-Roll,Captions (repeat of spoken),"810,600"
"So if you ever have to do any financial reporting, this AI tool will change your life.","So if you ever have to do any [X task], this AI tool will change your life",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"560,200"
"Alright, for anyone that loves design, you have to check out this AI tool.","Alright, for anyone that loves [X interest], you have to check out this AI tool",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"371,500"
Customer testimonials are not enough to build a creative strategy that converts. What you really need is this kind of information.,[X common tactic] are not enough to [Y goal]. What you really need is [Z better approach],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"829,400"
I've spent over 100 million dollars on Facebook ads and these are the ad creatives I always make,I've spent over [X amount] on [Y platform] ads and these are the [Z creatives] I always make,Secret Reveal,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"294,500"
I love these grid style ads. This is something that worked during the print era and still works today on meta ads.,I love these [X ad format]. This is something that worked during [Y era] and still works today on [Z platform],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",None,"188,200"
This is the easiest copywriting hack for advertising. I learned this from Ogilvy's on advertising and literally any brand or business can benefit from this.,This is the easiest [X skill] hack for [Y purpose]. I learned this from [Z source] and literally any [audience] can benefit from this,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"168,000"
This is a bad ad. And so is this one. And this one as well. Can you guess why?,This is a bad [X]. And so is this one. And this one as well. Can you guess why?,Question,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"88,900"
You can make creative that converts like crazy even if you just have boring product photos like this.,You can make [X creative] that converts like crazy even if you just have [Y starting materials],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"84,200"
You're making your Facebook ads and your Instagram ads creative wrong.,You're making your [X platform] ads and your [Y platform] ads creative wrong,Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"75,700"
"This ad is causing a ton of controversy on my Instagram, so I want to get your guys' opinion. You can be mom of the year and the woman you'd never want your kid to date.","This ad is causing a ton of controversy on my [X platform], so I want to get your guys' opinion. [Y controversial statement]",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"66,400"
There are tons of amazing images that convert like crazy on Facebook ads. So let me show you a few of my favorites.,There are tons of amazing [X content] that convert like crazy on [Y platform] ads. So let me show you a few of my favorites,Secret Reveal,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"58,700"
"Planes used to have vibe, now they don't. Cars used to have vibe, now they don't. Houses used to have vibe, now they don't. But good design is about creating a feeling.","[X] used to have vibe, now they don't. [Y] used to have vibe, now they don't. [Z] used to have vibe, now they don't. But good design is about creating a feeling",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"20,975,904"
What happened to aesthetic gyms? Now everything is so efficient and serious. What used to be aspirational has turned into clinical. It's time to rewrack aesthetics into their rightful place.,What happened to aesthetic [X places]? Now everything is so [Y state]. What used to be [Z positive] has turned into [negative]. It's time to [action],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"3,661,539"
While everyone is dishing sleek and going cozy. The people are craving traditional design right now.,While everyone is [X trend] and going [Y trend]. The people are craving [Z opposite] right now,Contrarian/Negative,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"2,311,212"
"I've said it once and I'll say it again, changing your door hardware is gonna be one of the easiest ways to upscale any space.","I've said it once and I'll say it again, [X action] is gonna be one of the easiest ways to [Y result]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,882,232"
"Overhead lighting is murdering the vibe at your house. Instead, use layered lighting.","[X common thing] is murdering the vibe at your [Y place]. Instead, use [Z alternative]",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,666,772"
"Over the last 10 years, the default look of 90% of homes, apartments, and retail was what I'll call the Apple Store aesthetic.","Over the last [X time], the default look of [Y percentage] of [Z places] was what I'll call the [brand] aesthetic",Comparison,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"1,609,242"
Have you ever noticed that most buildings that were designed in a computer look like they were designed in a computer? Not Jeff Shelton. He's an architect in Santa Barbara known for his whimsical homes.,Have you ever noticed that most [X things] that were [Y created method] look like they were [Y created method]? Not [Z person]. He's [profession] in [location] known for [unique quality],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,412,054"
"Almost everything looks better with simple defined shapes, whether it's cars, homes, appliances, or furniture.","Almost everything looks better with [X design principle], whether it's [Y examples]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,222,834"
The long low shelf or cabinet is such a hack in design.,The [X item] is such a hack in [Y field],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,036,582"
"Old table, New table. Old door, New door. Old furniture, New furniture. Old bathroom, New bathroom. In an effort to get away from an overabundance of detail, it's like we've scrapped it entirely.","Old [X]. New [X]. [Repeated pattern]. In an effort to get away from [Y problem], it's like we've [Z overcorrection]",Comparison,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"723,872"
It's nuts that most people will never question this. Let's say someone has a thousand dollars....,It's nuts that most people will never question this. Let's say [X scenario]...,Raw Shock,Creator A-Roll,Captions (repeat of spoken),"6,075,031"
My wife and I lost our multimillion dollar home in a landslide but the bank still chases us for the mortgage.,My [X person] and I lost our [Y asset] in [Z disaster] but [unfair consequence],Raw Shock,Creator A-Roll,Captions (repeat of spoken),"3,517,829"
"Let's check this out. Yeah, I'm not going to sell the property...","Let's check this out. Yeah, [X statement]...",Raw Shock,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"3,512,423"
"So when you're buying a home, right, essentially the month in which you buy it is not the first mortgage payment you'll make.","So when you're [X major action], right, essentially [Y counterintuitive fact]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"3,024,446"
J.P. Morgan are now saying the chances of a recession are around 60 percent. It's gone up from 40 to 60 almost overnight. This is all coming off the back of these tariffs.,[X authority] are now saying the chances of [Y event] are around [Z percentage]. It's gone up from [old percentage] to [new percentage] almost overnight. This is all coming off the back of [cause],Secret Reveal,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"2,309,188"
"It's a really easy way to save yourself at least $100,000 when you're buying a home...",It's a really easy way to save yourself at least [X amount] when you're [Y action]...,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,291,393"
What's happened in LA right now is very very sad and if there's one thing I can say about this it's insurance companies now are going to have 80 billion dollars worth of damages to pay out and the likelihood of that coming anytime soon is very very slim.,What's happened in [X location] right now is very very sad and if there's one thing I can say about this it's [Y industry] now are going to have [Z amount] worth of [obligation] and the likelihood of [outcome] is very very slim,Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"2,244,885"
"Buying a home is great, but it's also really dangerous. Too many people don't really take into account that when you're buying a home, you're getting a mortgage, this is a six-figure debt that's tied to your name.","[X decision] is great, but it's also really dangerous. Too many people don't really take into account that [Y hidden risk]",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"2,228,407"
The most common problem I'm seeing right now is there's a lot of homeowners who have got low interest rates and they've built up a bunch of equity in their home.,The most common problem I'm seeing right now is [X specific situation],Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"2,209,263"
"So it sounds really counterintuitive, but one of the things you can do to save yourself the most money when you're buying a home is to not negotiate down the price of the home, right?","So it sounds really counterintuitive, but one of the things you can do to [X goal] is to [Y opposite action], right?",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"2,102,429"
Here's how to turn 28 days of annual leave into 60 days off in 2025.,Here's how to turn [X small number] days of annual leave into [Y large number] days off in [Z year],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"10,369,478"
Do these six things with your money as soon as you get paid.,Do these [X number] things with your [Y resource] as soon as you [Z trigger],Educational/Tutorial,Creator A-Roll,[X subject] does [Y thing],"3,137,205"
This is how much should be in your emergency fund and where to save it based on your employment type.,This is how much should be in your [X fund] and where to [Y action] based on your [Z situation],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,882,880"
The mistake I made when it comes to money is staying at my first job for too long.,The mistake I made when it comes to [X topic] is [Y specific error],Experimentation,Creator A-Roll,Captions (repeat of spoken),"2,576,962"
Two things you can do ASAP to set your kids up for life coming from a qualified accountant and a former investment banker,[X number] things you can do ASAP to [Y goal] coming from [Z credible sources],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,266,761"
"The inheritance tax rate is 40%, but only 4% of estates in the UK actually pay it. And this is why, coming from a qualified accountant and a former investment banker.","The [X tax] rate is [Y percentage], but only [Z percentage] of [group] actually pay it. And this is why, coming from [credible sources]",Secret Reveal,Creator A-Roll,[X subject] does [Y thing],"1,403,801"
"The way to always go with the car is buy it outright, if you can, secondhand and three to five year old. That is like the sweet spot where it's depreciated enough at someone else's expense and it won't depreciate as much when you have it.",The way to always go with [X purchase] is [Y strategy]. That is like the sweet spot where [Z benefit explanation],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,289,743"
"Do these three things as soon as you get paid, coming from a qualified accountant and a former investment banker.","Do these [X number] things as soon as you [Y trigger], coming from [Z credible sources]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,136,493"
"Do you want to research a disease? Do you want to write a book? Do you want to build an AI-powered robot? Chances are you want to change the world, but might not have the support to do so. Introducing RISE, an initiative that supports brilliant 15-17 year olds worldwide.","Do you want to [X]? Do you want to [Y]? Do you want to [Z]? Chances are you want to [bigger goal], but might not have [obstacle]. Introducing [solution], [description]",Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"108,111,634"
The bank offers you a debit card and a credit card. What should you choose?,The [X institution] offers you [Y option] and [Z option]. What should you choose?,Question,Subject in B-Roll,Captions (repeat of spoken),"18,586,821"
"Your teacher announces the highest and lowest grades on the last exam. Somehow, you got the highest. Here's what you did.","Your [X authority] announces [Y results]. Somehow, you got [Z outcome]. Here's what you did",Raw Shock,Subject in B-Roll,Captions (repeat of spoken),"16,811,998"
"The smart kid peeks at your desk and can't stand you outscored him, so he begs you to tell him how. You tell him that you took your notes and turned them into an AI podcast a week before the exam.","The [X person] [Y discovers] and can't stand [Z achievement], so [reaction]. You tell them that [secret method]",Secret Reveal,"Creator in B-Roll, Subject in B-Roll",Captions (repeat of spoken),"10,638,531"
Should you study with or without music?,Should you [X activity] with or without [Y variable]?,Question,Subject in B-Roll,Captions (repeat of spoken),"8,867,795"
"You forgot to study for your exam, but you don't want to fail. Here's what you do.","You forgot to [X prepare] for your [Y event], but you don't want to [Z fail]. Here's what you do",Educational/Tutorial,Subject in B-Roll,Captions (repeat of spoken),"8,320,026"
You take your driving test so you can hang with your friends. Here's what the examiner makes you do.,You take your [X test] so you can [Y motivation]. Here's what [Z authority] makes you do,Educational/Tutorial,Subject in B-Roll,Captions (repeat of spoken),"7,618,345"
"You're studying with YouTube videos, but they're way too long. Here's what you do.","You're [X activity] with [Y resource], but they're [Z problem]. Here's what you do",Educational/Tutorial,Subject in B-Roll,Captions (repeat of spoken),"6,822,661"
The best and worst times to study - Your friend chooses the worst times.,The best and worst times to [X activity] - Your friend chooses the worst times,Comparison,Subject in B-Roll,Captions (repeat of spoken),"6,812,637"
You look in the mirror and notice your arms look like twigs. Here's what you do to gain muscle.,You look in the mirror and notice [X physical trait]. Here's what you do to [Y goal],Educational/Tutorial,"Creator in B-Roll, Subject in B-Roll",Captions (repeat of spoken),"6,643,185"
"We posted the same video twice. This one has 100,000 views. This one has over 70 million views. Down below, we'll explain why it happened.","We posted the same video twice. This one has [X small number] views. This one has over [Y huge number] views. Down below, we'll explain why it happened",Comparison,"Creator A-Roll, Subject in B-Roll",None,"198,056"
"After growing our Instagram to over 1.1 million followers, here's what we would do if we had to restart from scratch.","After growing our [X platform] to over [Y number] followers, here's what we would do if we had to restart from scratch",Experimentation,Subject in B-Roll,Captions (repeat of spoken),"141,817"
Want to know how to do this text reveal? Let me show you how.,Want to know how to do this [X technique]? Let me show you how,Question,Creator in B-Roll,None,"2,212,120"
Who needs a sugar daddy if you have this card? It's basically a social credit card,Who needs a [X traditional thing] if you have this [Y item]? It's basically a [Z modern equivalent],Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",None,"2,089,082"
Here's how to draw on your videos just like this.,Here's how to [X technique] on your videos just like this,Educational/Tutorial,"Arrow/Highlights, Creator in B-Roll",None,"1,737,616"
There's a new way to put text behind your videos and it's easier than ever.,There's a new way to [X technique] and it's easier than ever,Secret Reveal,Creator in B-Roll,[X subject] does [Y thing],"1,195,716"
"So someone asked me the other day, prove to me that branding works. Alright....","So someone asked me the other day, prove to me that [X concept] works. Alright...",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"4,500,000"
"All right, I wanna talk about the three levels of marketing. Today, we're gonna talk about selling you a pen.","All right, I wanna talk about the [X number] levels of [Y topic]. Today, we're gonna talk about [Z example]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,700,000"
"Why do big brands like Apple, Nike, Disney and McDonalds spend upwards of 7% of their top-line revenue on marketing?",Why do big brands like [X companies] spend upwards of [Y percentage] of their top-line revenue on [Z activity]?,Question,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,300,000"
"Oh man, China is having a field day telling the world what everything costs. Okay, so here's the question from a brand standpoint. Are consumers going to now demand more transparency where pricing is concerned....","Oh man, [X entity] is having a field day [Y action]. Okay, so here's the question from a [Z perspective] standpoint. [Question]...",Question,Creator A-Roll,Captions (repeat of spoken),"971,800"
"Surprise surprise, Jaguar is firing the ad agency responsible for the ""Copy No One"" nonsense that took away 100 years of heritage and replaced it with complete ambiguity.","Surprise surprise, [X company] is firing [Y provider] responsible for the [Z campaign] nonsense that [negative impact]",Secret Reveal,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"250,500"
"Most brands play it safe. They follow, they hesitate, they blend in. But champions move differently. They take risks, they adapt, and they dominate.",Most [X entities] play it safe. They [Y safe behaviors]. But champions move differently. They [Z bold behaviors],Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"158,800"
"Your brand is not your logo. Its not your color palette, its not your font choices or your website. Those are expressions of your brand, but they are not the engine for growth.","Your [X concept] is not your [Y surface element]. It's not your [Z elements]. Those are expressions of your [X], but they are not the engine for [goal]",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"57,900"
Here's the golden rule of marketing that McDonald's knows that Five Guys doesn't which is why McDonald's is ten times the size of Five Guys.,Here's the golden rule of [X field] that [Y successful company] knows that [Z less successful company] doesn't which is why [comparison],Comparison,Creator A-Roll,Captions (repeat of spoken),"47,900"
"What are the people at Southwest Airlines thinking? No, no, no, no, no, no. This is so dumb. And so many other businesses have crashed on these rocks. You've gotta know what's gonna come next. All right, here's what I'm talking about.",What are the people at [X company] thinking?,Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"37,900"
"Hey everybody, breaking news. Aldi's packaging team apparently thinks originality is optional, and Mondelez is calling bull.","Hey everybody, breaking news. [X company's] [Y department] apparently thinks [Z value] is optional, and [company] is calling bull",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"34,000"
"So when you open a restaurant, the first person that knocks on your door will not be a customer. It'll be someone from Coca-Cola and they will be offering you a free fridge. But is it a free fridge?","So when you open a [X business], the first person that knocks on your door will not be a [Y expected person]. It'll be someone from [Z company] and they will be offering you [deal]. But is it [good]?",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"2,514,861"
"I think I want to build the biggest e-commerce community in the world, so I'm going to launch millionaires.com soon, which is going to be a very large free e-commerce course, because I think information should largely be free.","I think I want to build the biggest [X type] community in the world, so I'm going to launch [Y platform] soon, which is going to be [Z offering], because I think [principle]",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"893,053"
"Here's how to find $10,000 a day products without going to 50 different websites.",Here's how to find $[X amount] a day products without [Y tedious process],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"470,806"
"Stop designing custom icons. So, designers often feel pressured to design everything custom in their products, including icons. But this isn't great practice, so I recommend these three libraries to save you a bunch of time.","Stop [X common practice]. So, [Y professionals] often feel pressured to [Z expectation]. But this isn't great practice, so I recommend these [number] [solutions] to save you a bunch of time",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"4,296,328"
"Stop designing are-you-sure modals. This is one of the most common UI components, but designers often get this wrong. So in less than 30 seconds, I'm going to show you how to design a better confirmation modal.","Stop designing [X element]. This is one of the most common [Y components], but [Z professionals] often get this wrong. So in less than [time], I'm going to show you how to [better approach]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"3,544,820"
Stop using your brand color as your primary color.,Stop using your [X] as your [Y],Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"3,007,711"
"Stop adding buttons to cards. Super fast. In 30 seconds, I'm going to show you why teams like Nike and also Apple don't add any buttons to their cards.","Stop adding [X element] to [Y component]. Super fast. In [Z time], I'm going to show you why teams like [companies] don't add any [X] to their [Y]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"2,446,734"
"Today, I'm going to show you how to apply better hierarchy to your design. We're going to go from this basic card to applying better visual hierarchy following Apple's principles. Super!","Today, I'm going to show you how to apply better [X concept] to your [Y work]. We're going to go from this basic [Z starting point] to applying better [improvement] following [authority's] principles",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"2,141,286"
"Stop adding colors to your UI. In less than 30 seconds, I'm going to show you why using fewer colors is going to help your UI.","Stop adding [X element] to your [Y work]. In less than [Z time], I'm going to show you why [counterintuitive approach] is going to help your [Y]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"1,901,659"
"Stop wasting time designing your portfolio. Designers waste so many weeks trying to create the perfect portfolio from scratch. Instead, I recommend heading to framer.com","Stop wasting time [X task]. [Y professionals] waste so many [Z time] trying to create the perfect [output] from scratch. Instead, I recommend [solution]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"1,729,161"
"Stop adding backgrounds to cards. I'm going to show you super fast where you can drop the background and border from your cards. And this technique is used by teams like Apple, Netflix, and Airbnb for their cards.",Stop adding [X element] to [Y component]. I'm going to show you super fast where you can [Z technique]. And this technique is used by teams like [companies] for their [Y],Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"1,694,328"
"Check this out, this guy's building a real Iron Man suit in his garage. But to do it, he had to invent the world's first personal hydrogen reactor. It's insane.","Check this out, this [X person] is building [Y project]. But to do it, they had to [Z requirement]. It's insane",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",[X subject] does [Y thing],"17,556,928"
Check this out. These are called life-size floor plans. You can literally walk through your exact home design before you build it. And I think this is the future of how people are gonna build their homes.,Check this out. These are called [X innovation]. You can literally [Y capability]. And I think this is the future of how people are gonna [Z activity],Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",[X subject] does [Y thing],"14,478,870"
Check this out. This company lets you order sunlight on demand. It's like Uber Eats for the sun.,Check this out. This company lets you [X impossible service]. It's like [Y familiar service] for [Z unexpected thing],Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",[X subject] does [Y thing],"10,974,071"
"The tech in the Vegas Sphere is insane. Biggest screen ever built, 20 times bigger than an IMAX. But get this, the screen is actually the least impressive part of the whole thing because the most impressive part is the audio. This is gonna blow your mind.","The tech in [X venue] is insane. [Y impressive fact]. But get this, [Z expected highlight] is actually the least impressive part of the whole thing because the most impressive part is [unexpected element]. This is gonna blow your mind",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Future of [X thing],"7,960,405"
"This company 3D printed an entire neighborhood. All those houses were printed with those giant machines. But get this, because they're printed, people can design wild looking homes that are actually affordable to build.","This company [X method] an entire [Y project scale]. [Z how it's done]. But get this, because they're [X], people can [unexpected benefit]",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",[X subject] does [Y thing],"7,942,673"
"This is Faye. She's eight years old, and she just built this entire Harry Potter website in like 45 minutes. She doesn't even know how to code. All she did was type English into this new coding tool, Cursor.","This is [X person]. She's [Y age] years old, and she just built this entire [Z project] in like [time]. She doesn't even know how to [expected skill]. All she did was [simple action] into this new [tool]",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"7,313,783"
"Something crazy is happening with Stanley Cups. You ever seen one of these? Stanley Cup, racking up 6.7 billion views. This 40 ounce Stanley quencher has become the Louis Vuitton of drinkware.","Something crazy is happening with [X product]. You ever seen one of these? [X], racking up [Y metric]. This [Z description] has become the [luxury brand] of [category]",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"5,748,033"
And I don't think I've ever heard you answer this. How do you go about building these AI tools for creators that are infinitely useful but also maintain that authenticity and that human connection?,And I don't think I've ever heard you answer this. How do you go about [X complex challenge]?,Question,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"4,213,574"
"Check this out, this headband is gonna revolutionize the way we sleep. It's called the Elemind. And the people that use it fall asleep way faster than normal. It's pretty crazy.","Check this out, this [X device] is gonna revolutionize the way we [Y activity]. It's called the [Z name]. And the people that use it [benefit]. It's pretty crazy",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",[X shocking thing],"3,443,148"
"Check this out, this company built an AI headset that lets you control your dreams. Imagine Inception, but in real life, whenever you want. And they do this by activating lucid dreams. It's insane.","Check this out, this company built [X product] that lets you [Y capability]. Imagine [Z pop culture reference], but in real life, whenever you want. And they do this by [method]. It's insane",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",[X subject] does [Y thing],"3,242,375"
Do you realize that every video that you watch today is using this technique to keep you hooked? It's called Pope in the Pool and I'm doing it right now.,Do you realize that every [X content] that you watch today is using this technique to keep you hooked? It's called [Y technique] and I'm doing it right now,Question,Creator A-Roll,Captions (repeat of spoken),"1,300,148"
"This is the exact same video, but the second time it was posted, it got 21.4 times more views. And it's all because of one simple strategy, you can steal. The second video ends right after the payoff.","This is the exact same [X content], but the second time it was posted, it got [Y multiplier] times more [Z metric]. And it's all because of one simple strategy, you can steal. [Strategy]",Comparison,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"562,248"
Steal these viral hooks,Steal these [X content element],Raw Shock,Creator in B-Roll,[X shocking thing],"378,818"
"I might post tomorrow. Rain or shine, I post daily.",[X weak commitment]. [Y strong opposite commitment],Comparison,Creator A-Roll,[X numbers] vs [Y numbers],"376,337"
The writer of Rick and Morty might have just given the best advice I've ever heard on writer's block. Watch the video and then I'll share my thoughts.,[X person] just gave the best advice I’ve ever heard on [Y problem],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"267,469"
"I have a question for you. Which one is the real me? Is it me, or is it me? Here's how I made her.","I have a question for you. Which one is the real [X]? Is it [Y], or is it [Y]? Here's how I made [Z]",Experimentation,Creator A-Roll,Captions (repeat of spoken),"9,662,976"
"This is how to transform your scenes using AI, explained in one minute. Welcome back to another episode of Edit Like It's 3005, a series where I break down next-generation effects.","This is how to [X technique] using AI, explained in [Y time]. Welcome back to another episode of [Z series], a series where I break down [content type]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,218,165"
"Hey, I'm Cole. I'm a video creator and computer science student, and I'm challenging myself to reach 20,000 followers before I graduate. Why am I doing this? Well, when was the last time you had to let go of something?","Hey, I'm [X name]. I'm a [Y role] and [Z role], and I'm challenging myself to [specific goal]. Why am I doing this? Well, [philosophical question]?",Educational/Tutorial,Creator in B-Roll,Captions (repeat of spoken),"717,304"
