Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
I think I've unlocked the secret to viral content.,I think I've unlocked the secret to [X outcome],Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/dmitrihasideas/reel/C-VhDG0vRlp/,Content Marketing,Education,3,"358,763"
"Boring product, excellent marketing.","[X negative trait] product, [Y positive trait] marketing",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,Swipes In,Music only,Upbeat music,https://www.instagram.com/dmitrihasideas/reel/DFnezEjJ0DZ/,Content Marketing,Education,4,"221,258"
"Whatever you do, do not post another video without remembering this - and, but, therefore.","Whatever you do, do not [X action] without remembering this - [Y principle]",Secret Reveal,Creator in B-Roll,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Text with Shadow,No Motion,Music only,Upbeat music,https://www.instagram.com/dmitrihasideas/reel/DAThvXzyEy1/,Content Marketing,Education,5,"217,701"
Here's the type of thinking that makes me a ton of money as a marketing consultant for businesses.,Here's the type of thinking that makes me [X result] as a [Y profession],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,Swipes In,Music only,Upbeat music,https://www.instagram.com/dmitrihasideas/reel/C9-GJSCJKHe/,Content Marketing,Education,7,"168,446"
"If your brand sucks at content marketing, well lucky for you, I've got a framework that's gonna help you so much.","If your [X business] sucks at [Y skill], well lucky for you, I've got a framework that's gonna help you so much",Secret Reveal,"Creator A-Roll, Creator in B-Roll","A-Roll - Quick Zoom, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/dmitrihasideas/reel/DB9MJBzpllF/,Content Marketing,Education,8,"44,699"
"Don't copy creators, study them and do it better.","Don't [X obvious action] [Y people], [Z better action] and do it better",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - Quick Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/dmitrihasideas/reel/CyM0y_nI1-p/,Content Marketing,Education,9,"41,434"
"Here's why we're okay with paying $7,000 a month in rent.",Here's why we're okay with [X seemingly crazy decision],Raw Shock,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jtbarnett/reel/DEa8cwtyJZi/,Content Marketing,Education,2,"902,684"
"If you want to grab attention on YouTube, stop scrolling.","If you want to [X goal] on [Y platform], stop scrolling",Educational/Tutorial,Creator in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jtbarnett/reel/Cs9oGICPEgG/,Content Marketing,Education,4,"538,668"
The ideal way to actually execute as a company is to have the founder be in the content.,The ideal way to actually [X goal] as a [Y entity] is to have [Z person] be in the [activity],Educational/Tutorial,"Example Videos, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/jtbarnett/reel/C7VQigdPfRT/,Content Marketing,Education,5,"481,072"
Today I'm doing the unthinkable at one of the biggest trade shows in the world.,Today I'm doing the unthinkable at [X event],Raw Shock,"Non-person B-Roll, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jtbarnett/reel/Cp0bh9OgTfj/,Content Marketing,Education,9,"262,368"
We're putting our entire life savings on this theory.,We're putting our entire [X asset] on this [Y theory],Raw Shock,"Non-person B-Roll, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/jtbarnett/reel/CpiPPCWAJ-V/,Content Marketing,Education,10,"247,441"
"There's a model called the five stages of relationship, and here's the wild part.","There's a model called [X concept], and here's the wild part",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Slow Zooms","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DIjarP9OlwY/,Content Marketing,Entertainment,1,"8,220,970"
"If you make fake snares in your head before you go to sleep, it's a sign of mental illness.","If you [X behavior], it's a sign of [Y condition]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Slow Zooms","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DKCr9nVOPwH/,Content Marketing,Entertainment,2,"5,401,113"
"This experiment is dark, but it proved something real about belief.","This experiment is [X adjective], but it proved something real about [Y concept]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DI1d5aMun9W/,Content Marketing,Entertainment,3,"3,712,802"
It is far better for a woman to be obsessed with a man than a man to be obsessed with a woman.,It is far better for [X group] to [Y behavior] than [Z group] to [same behavior],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DI4C0G1ujqK/,Content Marketing,Entertainment,4,"3,648,644"
Pretty much everything in my life changed when I started doing things that would make me more fuckable.,Pretty much everything in my life changed when I started doing things that would make me more [X quality],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/robthebank/reel/DH_Qjmlu712/,Content Marketing,Entertainment,5,"2,470,019"
There are only two people in this world that you need to make proud.,There are only [X number] people in this world that you need to [Y goal],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DJ1w6qbOtXA/,Content Marketing,Entertainment,6,"2,456,752"
"The most depressed person in the family is not the mother, it's not the father, it's not the daughters. It's the eldest son.",The most [X trait] person in the [Y group] is not [Z expected person]. It's [unexpected person],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DKSJKLquinV/,Content Marketing,Entertainment,7,"2,444,409"
"For the next 30 days, I need you as delusional as possible.","For the next [X time], I need you as [Y mindset] as possible",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DKFRLPduL_k/,Content Marketing,Entertainment,8,"2,188,732"
I've never understood dudes who spend their first real money on a supercar.,I've never understood [X people] who [Y behavior],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Slow Zooms","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DJepzYROSEx/,Content Marketing,Entertainment,9,"2,000,779"
You ever notice how the people that always seem to be complaining never catch a break,You ever notice how the people that always [X behavior] never [Y outcome],Question,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Slow Zooms","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/robthebank/reel/DHtxK3bOqeI/,Content Marketing,Entertainment,10,"1,971,030"
"By far, the easiest way as an entrepreneur to consistently have content to post and make is by doing a mock podcast like this","By far, the easiest way as [X profession] to consistently [Y goal] is by doing [Z method]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/iamjadenly/reel/C-nRydbusGc/,Content Marketing,Education,1,"669,412"
You are being brainwashed to watching this video right now.,You are being [X claim] to [Y action] right now,Raw Shock,Creator in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/iamjadenly/reel/C5oNFpau2Q5/,Content Marketing,Education,2,"242,462"
Stop posting educational content. Do this instead.,Stop posting [X content type]. Do this instead,Educational/Tutorial,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/iamjadenly/reel/DDw4j_hOWZq/,Content Marketing,Education,3,"213,009"
"I'm not the best storyteller by any means necessary, but for every business owner out there watching, this one story format has single-handedly gotten me hundreds of thousands of views and a crap ton of leads.","I'm not the best [X skill] by any means necessary, but for every [Y audience] out there watching, this one [Z technique] has single-handedly gotten me [results]",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/iamjadenly/reel/DBOjEszOVH9/,Content Marketing,Education,4,"205,589"
I tested these two videos to see which one would bring more leads to my business.,I tested these two [X content] to see which one would [Y business goal],Experimentation,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/iamjadenly/reel/C6bb6RGuRGy/,Content Marketing,Education,5,"139,216"
"Your videos aren't boring, you just lack an aspect of retention, aka multitask media.","Your [X content] aren't [Y negative trait], you just lack [Z element]",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/iamjadenly/reel/C53XpNXMuyO/,Content Marketing,Education,6,"132,850"
"The worst way to start off your video is by saying, hey guys, welcome back to part two....","The worst way to start off your [X content] is by saying, [Y intro]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/iamjadenly/reel/C5wIbeOu-J6/,Content Marketing,Education,7,"129,718"
"If I woke up with zero followers and had to build my audience from zero to over two hundred thousand again, here are the first three things I would focus on.","If I woke up with zero followers and had to build my audience from zero to [X number] again, here are the first [Y number] things I would focus on",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - Slow Zoom, B-Roll - Quick Cuts",Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/iamjadenly/reel/C-Sk0Raukc6/,Content Marketing,Education,8,"113,982"
"This guy just gave us some of the best content marketing advice, and this is something I've been saying for months.","This guy just gave us some of the best [X topic] advice, and this is something I've been saying for [Y time]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/iamjadenly/reel/C9Cz5jqM8-K/,Content Marketing,Education,9,"100,569"
"Yo, if you want to grow online, as I was saying before I got rudely interrupted, if you really want to grow online, you need to consider these two things, value and TV.","Yo, if you want to [X goal], as I was saying before I got rudely interrupted, if you really want to [X], you need to consider these two things, [Y] and [Z]",Raw Shock,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/iamjadenly/reel/C6HY4w5PV_B/,Content Marketing,Education,10,"90,940"
This prompt has been going viral - What do you know about me that I might not know about myself based on our previous interactions?,This prompt has been going viral - [X intriguing question],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DBbQKwGMmTV/,Content Marketing,Education,1,"11,566,689"
Most people have no idea you can legally spy on any company's marketing strategy and it's much easier to do than you think.,Most people have no idea you can legally [X surprising action] and it's much easier to do than you think,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DEBsfQsTA1M/,Content Marketing,Education,2,"6,848,814"
Imagine being able to type a voiceover and have it be read in your own voice instantly.,Imagine being able to [X futuristic capability] instantly,Fortuneteller,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DGQgUNhMN6n/,Content Marketing,Education,3,"6,135,477"
"Watch this, I'm speaking right now in my normal voice. But listen to what happens when I switch it.","Watch this, I'm [X normal action]. But listen to what happens when I [Y change]",Experimentation,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DF793LCqIUn/,Content Marketing,Education,4,"5,415,722"
Stop wasting hours editing your clips. Transform your videos instantly with AI.,Stop wasting hours [X task]. Transform your [Y content] instantly with [Z technology],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/adamstewartmarketing/reel/C9UlbXWP0PU/,Content Marketing,Education,5,"1,489,671"
So this guy just decided to outsource his entire personal financial life to GPT-4.,So this guy just decided to outsource his entire [X life aspect] to [Y AI],Raw Shock,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Whoosh SFX,https://www.instagram.com/adamstewartmarketing/reel/CrvV4zkMth4/,Content Marketing,Education,6,"1,396,462"
(Talking to the AI) I'm trying to book a flight to Hong Kong for five people on the 7th of April. Try find me a direct flight from Melbourne.,(Talking to the AI) [X specific request],Experimentation,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,SFX only,Typing SFX,https://www.instagram.com/adamstewartmarketing/reel/DFM7DoFz87S/,Content Marketing,Education,7,"743,943"
"OpenAI's president, Greg Brockman, just shared the best way to structure the perfect prompt.","[X company's] [Y executive], [Z name], just shared the best way to [valuable skill]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DGKdlpvT444/,Content Marketing,Education,8,"646,908"
Alibaba just dropped another huge AI model,[X company] just dropped another huge [Y product],Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DGnMqAdzEKo/,Content Marketing,Education,9,"641,414"
Finding suppliers for new products used to take weeks of research. But then I discovered something that changed everything within seconds,[X task] used to take [Y long time]. But then I discovered something that changed everything within seconds,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/adamstewartmarketing/reel/DHGVSfGzMRI/,Content Marketing,Education,10,"376,641"
Fuck your ChatGPT,Fuck your [X popular tool],Contrarian/Negative,"Creator A-Roll, Creator in B-Roll, Image Screenshots","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen A-roll (in world)",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/nomadatoast/reel/C3IRndVN1ZB/,Tech,Entertainment,1,"7,021,206"
And if you take a picture of your product and prompt an effect here -  boom.,And if you [X action] and [Y action] - boom,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",B-Roll - Quick Cuts,"Full screen A-roll (partial graphic overlay), Full screen B-roll",Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/DG5u_mLN5IB/,Tech,Education,2,"5,482,461"
"If you're a model, I'm sorry.","If you're a [X profession], I'm sorry",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/DHBUpY4tiZF/,Content Marketing,Entertainment,3,"4,892,849"
You can take an image of Luigi here and turn it into a super sharp 3D model,You can take [X input] and turn it into [Y output],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/C_kjQrtADNI/,Tech,Education,4,"4,872,906"
And boom. With zero technical skills you can generate CGI effects and assets with Generate Video powered by the new Firefly video model.,And boom. With zero technical skills you can [X create output] with [Y tool],Secret Reveal,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/DF-a-0rtHAM/,Tech,Education,5,"3,572,606"
"You can take a Pokemon image, and turn it into a 3D model, animate it from the selection here, add it to your design,and boom. Moving posters for billboards or social media.","You can take [X image], and turn it into [Y format], [Z additional steps], and boom. [final application]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,SFX only,SFX,https://www.instagram.com/nomadatoast/reel/DF7W5NtAURd/,Tech,Education,6,"3,316,529"
"Like a spy, no one can tell these glasses project content right in front of me to cheat on exams and in casinos like James Bond.","Like a spy, no one can tell these [X device] [Y capability] like [Z reference]",Secret Reveal,Creator in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/DFUu324gU3s/,Tech,Entertainment,7,"2,845,802"
Should interior designers be worried about this?,Should [X profession] be worried about this?,Question,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,SFX only,SFX,https://www.instagram.com/nomadatoast/reel/DGQc37kNcJ7/,Content Marketing,Entertainment,8,"2,270,753"
I just found an incredible tool for you.,I just found an incredible [X tool] for you,Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/DEKNBmRNSJy/,Tech,Education,9,"2,065,614"
"You can take a basic product photo like this, generate amazing background montages and animate it with AI.","You can take a basic [X input], generate amazing [Y enhancements] and animate it with [Z]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/nomadatoast/reel/C-7ht-VgKE_/,Tech,Education,10,"2,027,606"
"If you want to make AI images, go to Midjourney.","If you want to make [X content], go to [Y platform]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DHNuUidAh1x/,Tech,Education,1,"6,884,006"
"So this tool changes your clothes using AI, but you can use this on thumbnails to create stunning visuals in just a few clicks.","So this tool [X function] using AI, but you can use this on [Y alternative use] to create [Z result] in just a few clicks",Educational/Tutorial,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DEuAxVftWQY/,Tech,Education,2,"4,027,328"
If you create any kind of content for brands then you're going to want to hear about this new feature from Adobe.,If you create any kind of [X work] for [Y clients] then you're going to want to hear about this new feature from [Z company],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DBbIkjBtmzJ/,Content Marketing,Education,3,"3,726,341"
How do we get the same character to show up in all of our AI videos?,How do we get [X consistency challenge] in all of our [Y content]?,Question,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DGN7voTtiZm/,Tech,Education,4,"2,905,191"
So I just spent the last 7 days paying and testing for all of the best AI video generation tools and all of the best AI image tools so that I could create these AI ads.,So I just spent the last [X time] paying and testing for all of the best [Y tools] so that I could create [Z result],Experimentation,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/rourkeheath/reel/DGczwtVgzhE/,Tech,Education,5,"2,235,814"
"Should we be worried that you can take a picture of yourself, paste in any link, and create hundreds of videos of you talking about any product with any avatar or any animated character.",Should we be worried that you can [X simple process] and create [Y scalable output]?,Question,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DITFFLLOH6u/,Tech,Entertainment,6,"2,115,426"
"Look, Adobe just released their new AI video model which turns your photos into full-blown ads in just a few clicks.","Look, [X company] just released their new [Y product] which turns your [Z input] into [output] in just a few clicks",Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DF-bVSvN7J2/,Tech,Education,7,"2,072,524"
So this is my AI twin and I have trained it so that I can completely control my facial movements and I control the camera movement.,So this is my AI twin and I have trained it so that I can completely control [X capabilities],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DItFQLVArrn/,Tech,Entertainment,8,"1,900,458"
This might be the craziest AI update we've ever seen.,This might be the [X superlative] AI update we've ever seen,Raw Shock,"Creator A-Roll, Non-person B-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DKmf4zrtyGF/,Tech,Entertainment,9,"1,900,407"
So I just paid and tested for all of the best AI video generation tools so that you don't have to.,So I just paid and tested for all of the best [X tools] so that you don't have to,Experimentation,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,None,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/rourkeheath/reel/DFPlpQzALmo/,Tech,Education,10,"1,575,934"
I just flew 36 hours to attend the biggest marketing event called Inbound by Hubspot,I just flew [X time] to attend the biggest [Y event] called [Z name] by [company],Experimentation,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7416479437446745362,Content Marketing,Entertainment,1,"2,700,000"
I think all us marketers can agree that creating content across every channel is so time-consuming.,I think all us [X profession] can agree that [Y pain point] is so time-consuming,Contrarian/Negative,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7417225188661611783,Content Marketing,Education,2,"1,800,000"
"Today, I spoke to the head of TikTok again and these are more of the latest tips to help you grow in 2024.","Today, I spoke to the head of [X platform] again and these are more of the latest tips to help you grow in [Y year]",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7322206525840166162,Content Marketing,Education,3,"1,600,000"
There is nothing more painful than creating step-by-step guides with screenshots and text.,There is nothing more painful than creating [X content type],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7262470916033006850,Content Marketing,Entertainment,4,"1,500,000"
"Here is the ultimate list of free tools that you normally have to pay for, and trust me, these will save you so much money.","Here is the ultimate list of free [X resources] that you normally have to pay for, and trust me, these will save you so much [Y]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7261722511581170946,Content Marketing,Education,5,"1,100,000"
Could this be the worst rebrand of all time?,Could this be the worst [X decision] of all time?,Question,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7259196319657512210,Content Marketing,Entertainment,6,"622,700"
"Neil Patel, what would you say is the next biggest revolution in marketing?","[X expert], what would you say is the next biggest revolution in [Y field]?",Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Future of [X thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7416876278558625031,Content Marketing,Education,7,"618,200"
Who else in marketing is struggling with the demand to post across every single channel?,Who else in [X profession] is struggling with [Y challenge]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7417602074264882450,Content Marketing,Entertainment,8,"451,200"
TikTok ads are crushing it in 2024 and let me prove it to you.,[X platform] ads are crushing it in [Y year] and let me prove it to you,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@samdespo/video/7345787715956346130,Content Marketing,Education,10,"368,100"
It took me 10 years to learn everything I'm about to tell you.,It took me [X time] to learn everything I'm about to tell you,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7328982772666764590,Content Marketing,Education,1,"2,600,000"
